item_id,grade,skill_map_entry,micro_skill_statement,strand,cognitive_domain,min_tier,evidence_quote,locator,human_verdict(accept|revise|reject),human_score(0-1),human_issue_codes,human_notes
13-01,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Selecciona el instrumento de medición apropiado (regla, balanza, probeta) según el objeto y la magnitud física (longitud, masa o volumen) que se desea cuantificar.",technical_systems,applying,T0,"1 . 2. Selecciona el instrumento de medición apropiado, según el objeto a m e d i r.",sv-cyt p.46 ¶paragraph-p358-20b9fd98b4b5a47c,,,,
13-02,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Mide magnitudes físicas empleando distintos instrumentos y expresa los valores obtenidos como cantidades enteras utilizando las unidades y símbolos del Sistema Internacional (m, cm, mm, kg, g, L, mL).",technical_systems,applying,T0,"1 .1 . Obtiene valores para una misma magnitud, empleando distintos i n s t r u m e n to s .",sv-cyt p.46 ¶paragraph-p358-20b9fd98b4b5a47c,,,,
13-03,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,Compara los efectos de las fuerzas de contacto y a distancia sobre el estado de movimiento de los objetos mediante la experimentación directa.,technical_systems,reasoning,T0,1 . 5. Compara el compor tamiento de las fuerzas por contacto y a distancia.,sv-cyt p.46 ¶paragraph-p359-a2e14cdce1e7cc4f,,,,
14-01,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Clasifica los datos personales que se generan al interactuar con servicios y herramientas digitales.,digital_citizenship,knowing,T0,"recognise simple data I produce through digital tools, environments or services.",digcomp p.30 ¶paragraph-p156-6b106d301d3cd3f3,,,,
14-02,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Elige medidas de seguridad y privacidad adecuadas para proteger la informacion personal en entornos digitales.,digital_citizenship,applying,T0,"select simple ways to protect my personal data and privacy in digital environments,",digcomp p.42 ¶paragraph-p211-6cc4e835ceda8ae7,,,,
14-03,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Explica con evidencia la importancia de solicitar permiso antes de compartir informacion o imagenes de otras personas en linea.,digital_citizenship,reasoning,T0,keeping one’s own and others’ personal information private (e.g. vacations or birthday photos; religious or political comments).,digcomp p.31 ¶paragraph-p165-7ab9db4a34b1c26f,,,,
14-04,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Describe formas sencillas de proteger la reputacion digital propia al interactuar en servicios en linea.,digital_citizenship,knowing,T0,"describesimple ways to protect my reputation online,",digcomp p.30 ¶paragraph-p156-6b106d301d3cd3f3,,,,
15-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Clasifica las máquinas simples a partir de sus definiciones clásicas y ejemplos del entorno.,technical_systems,knowing,T0,"Clasifica las máquinas simples, a partir de sus definiciones clásicas.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
15-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica los tipos de máquinas simples que integran el funcionamiento de una máquina compleja o aparato de uso diario.,technical_systems,applying,T0,Identifica tipos de máquinas simples dentro de máquinas complejas.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
15-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye una máquina compleja o mecanismo compuesto integrando diferentes máquinas simples.,technical_systems,applying,T0,Construye una máquina compleja.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
15-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Registra las fuentes de energía que utilizan diversos objetos tecnológicos de uso diario.,technical_systems,knowing,T0,Identifica las fuentes de energía de objetos tecnológicos de uso diario.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
15-05,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Explica con evidencia la relación entre la forma de energía empleada por un dispositivo y la utilidad o tarea que realiza.,technical_systems,reasoning,T0,Relaciona la forma de energía empleada por un dispositivo y su utilidad.,[sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40],,,,
16-01,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.","Traza diagramas esquemáticos de circuitos eléctricos en serie y en paralelo utilizando la simbología técnica para representar fuentes, conductores y resistencias.",technical_systems,applying,T0,"3. 3. Representa circuitos eléctricos en
 serie y en paralelo.",[sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a],,,,
16-02,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Determina el valor nominal de una resistencia eléctrica mediante el código de colores y verifica el valor real utilizando la función de óhmetro de un multímetro.,technical_systems,applying,T1,"3. 2. Identifica el valor de resistencias
 eléctricas según código de color y
 multímetro.",[sv-cyt p.93 ¶paragraph-p851-d19097567298dd56],,,,
16-03,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.","Ensambla circuitos eléctricos funcionales en configuraciones de serie y paralelo sobre una protoboard o soporte físico, asegurando la continuidad de la corriente.",technical_systems,applying,T1,3.4. Construye un circuito en serie.,[sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a],,,,
16-04,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.","Mide las magnitudes de voltaje y corriente eléctrica en diferentes puntos de un circuito utilizando un multímetro, respetando la conexión en serie para corriente y en paralelo para voltaje.",technical_systems,applying,T1,"3.1 . Mide voltaje y corriente eléctrica
 empleando un multímetro.",[sv-cyt p.93 ¶paragraph-p851-d19097567298dd56],,,,
16-05,6,"Medir voltaje, corriente y resistencia con multímetro, construir y representar circuitos en serie y paralelo y calcular resistencia equivalente.",Calcula la resistencia equivalente total de circuitos configurados en serie y en paralelo aplicando las leyes de la electricidad y la notación científica del SI.,technical_systems,reasoning,T0,"3. 5. Calcula la resistencia equivalente y
 continuidad de la corriente eléctrica
 en un circuito en serie.",[sv-cyt p.93 ¶paragraph-p852-fdc2bc377c839b0a],,,,
17-01,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Selecciona el instrumento de medici3n apropiado (regla, balanza, probeta) seg%c3%ban el objeto y la magnitud a medir.",technical_systems,applying,T0,"Selecciona el instrumento de medici3n apropiado, seg%c3%ban el objeto a medir.",[sv-cyt p.46 %c2%b6paragraph-p358-20b9fd98b4b5a47c],,,,
17-02,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,Mide magnitudes de objetos y sustancias obteniendo valores mediante el uso de distintos instrumentos de medici3n directa.,technical_systems,applying,T0,"Obtiene valores para una misma magnitud, empleando distintos instrumentos.",[sv-cyt p.46 %c2%b6paragraph-p358-20b9fd98b4b5a47c],,,,
17-03,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Registra valores de medici3n como cantidades enteras utilizando los s%c3%admbolos estandarizados del Sistema Internacional (N, L, mL, m, cm, mm, kg, g).",data_and_ai,applying,T0,"La fuerza se expresar%c3%a1 en %c2%abNewtons%c2%bb, representados por el s%c3%admbolo %c2%abN%c2%bb en may%c3%bascula y sin punto.",[sv-cyt p.47 %c2%b6paragraph-p366-bef8e96502e203b7],,,,
17-04,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Efect%c3%baa experimentos manipulando objetos para observar c%c3%b3mo las fuerzas de contacto (empujar, jalar) afectan el movimiento.",technical_systems,applying,T0,Efect%c3%baa un experimento que involucre la manipulaci3n de fuerzas de contacto.,[sv-cyt p.46 %c2%b6paragraph-p359-a2e14cdce1e7cc4f],,,,
17-05,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,Evidencia la acci3n de fuerzas a distancia mediante experimentos con imanes o electricidad est%c3%a1tica para observar cambios en el movimiento.,technical_systems,applying,T0,Evidencia la acci3n de fuerzas a distancia mediante un experimento.,[sv-cyt p.46 %c2%b6paragraph-p359-a2e14cdce1e7cc4f],,,,
17-06,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,Compara el comportamiento de las fuerzas por contacto y a distancia bas%c3%a1ndose en los resultados de sus experimentos.,technical_systems,reasoning,T0,Compara el compor tamiento de las fuerzas por contacto y a distancia.,[sv-cyt p.46 %c2%b6paragraph-p359-a2e14cdce1e7cc4f],,,,
17-07,3,Seleccionar y usar instrumentos de medición directa y experimentar con fuerzas de contacto y a distancia para explicar sus efectos sobre el movimiento.,"Explica con evidencia experimental c%c3%b3mo la aplicaci3n de una fuerza modifica el estado de movimiento de un objeto (inicio, parada o cambio de direcci3n).",technical_systems,reasoning,T0,Comunica sus obser vaciones acerca de los efectos de las fuerzas sobre el estado de movimiento de los objetos.,[sv-cyt p.46 %c2%b6paragraph-p360-da19a50695b98ec0],,,,
18-01,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.","Clasifica máquinas simples presentes en el entorno a partir de sus definiciones clásicas, identificando específicamente los tipos de palancas en dispositivos cotidianos.",technical_systems,applying,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
18-02,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Identifica los tipos de máquinas simples que operan dentro de una máquina compleja de uso cotidiano.,technical_systems,reasoning,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
18-03,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Construye una máquina compleja funcional utilizando materiales del entorno que combine dos o más máquinas simples.,design_process,applying,T0,1 .6. Construye una máquina compleja.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
18-04,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Relaciona la fuente de energía de un objeto tecnológico con su utilidad y la transformación energética que realiza.,technical_systems,reasoning,T0,1 .8. Identifica las fuentes de energía de objetos tecnológicos de uso diario.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
18-05,4,"Identificar máquinas simples y complejas en dispositivos cotidianos, construir una máquina compleja y relacionar la energía que usa un dispositivo con su utilidad.",Efectúa cálculos simples de transformación de energía en dispositivos cotidianos utilizando Joules (J) como unidad de medida según el Sistema Internacional.,technical_systems,applying,T0,1 .10. Efectúa cálculos simples de transformación de energía en electrodomésticos y el cuerpo humano.,[sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40],,,,
19-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Clasifica dispositivos cotidianos en los diferentes tipos de máquinas simples, incluyendo palancas de diferente clase, basándose en sus definiciones clásicas.",technical_systems,knowing,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
19-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Explica con evidencia qué tipos de máquinas simples componen una máquina compleja del entorno.,technical_systems,reasoning,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
19-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye un modelo funcional de una máquina compleja combinando al menos dos máquinas simples.,design_process,applying,T0,1 .6. Construye una máquina compleja.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
19-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Registra un inventario de objetos tecnológicos de uso diario, detallando la fuente de energía que emplean y la utilidad específica que brindan.",technical_systems,applying,T0,1 .7. Elabora un inventario simple de los objetos tecnológicos de uso diario.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
19-05,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Registra cálculos simples de transformación de energía en electrodomésticos, utilizando la unidad Joules (J) del Sistema Internacional.",technical_systems,applying,T0,1 .10. Efectúa cálculos simples de transformación de energía en electrodomésticos y el cuerpo humano.,[sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40],,,,
20-01,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Clasifica los datos personales que se producen al utilizar herramientas o servicios digitales.,digital_citizenship,knowing,T0,"recognise simple data I produce through digital tools, environments or services.",digcomp p.30 ¶paragraph-p156-6b106d301d3cd3f3,,,,
20-02,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Selecciona medidas de seguridad simples para proteger sus datos personales y privacidad en entornos digitales.,digital_citizenship,applying,T0,"select simple ways to protect my personal data and privacy in digital environments,",digcomp p.42 ¶paragraph-p211-6cc4e835ceda8ae7,,,,
20-03,4,Identificar qué datos personales produce al usar servicios digitales y elegir formas simples de protegerlos y de respetar la privacidad ajena.,Explica con evidencia la importancia de mantener privada la información personal de otras personas.,digital_citizenship,reasoning,T0,keeping one’s own and others’ personal information private (e.g. vacations or birthday photos; religious or political comments).,digcomp p.31 ¶paragraph-p165-7ab9db4a34b1c26f,,,,
21-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Clasifica máquinas simples a partir de sus definiciones clásicas utilizando ejemplos del entorno.,technical_systems,knowing,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
21-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica los tipos de máquinas simples que componen una máquina compleja de uso cotidiano.,technical_systems,reasoning,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
21-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye una máquina compleja ensamblando dos o más máquinas simples para cumplir un propósito.,technical_systems,applying,T0,1 .6. Construye una máquina compleja.,sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab,,,,
21-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Relaciona la forma de energía que emplea un dispositivo tecnológico con la utilidad o función que este realiza.,technical_systems,reasoning,T0,1 .9. Relaciona la forma de energía empleada por un dispositivo y su utilidad.,sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40,,,,
22-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Clasifica objetos cotidianos como máquinas simples según sus definiciones clásicas, identificando específicamente las clases de palancas presentes.",technical_systems,knowing,T0,"1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
22-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica y nombra los tipos de máquinas simples que componen una máquina compleja del entorno.,technical_systems,reasoning,T0,1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
22-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye un modelo funcional de una máquina compleja combinando al menos dos máquinas simples utilizando materiales del entorno.,design_process,applying,T0,1 .6. Construye una máquina compleja.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
22-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Relaciona la fuente y forma de energía que emplea un objeto tecnológico de uso diario con la utilidad o función que este realiza.,technical_systems,reasoning,T0,1 .8. Identifica las fuentes de energía de objetos tecnológicos de uso diario.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
22-05,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.","Efectúa cálculos simples para cuantificar las transformaciones de energía en electrodomésticos utilizando las unidades del Sistema Internacional (Joules, Watts).",technical_systems,applying,T0,1 .10. Efectúa cálculos simples de transformación de energía en electrodomésticos y el cuerpo humano.,[sv-cyt p.60 ¶paragraph-p493-c2c8d149fcb0df40],,,,
23-01,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Construye una secuencia ordenada de instrucciones precisas para mover un agente desde un punto de inicio hasta una meta en una cuadrícula.,computational_thinking,applying,T0,Give a set of precise instructions that programs an object to move efficiently from one point to another.,[unplugged-rocket html ¶paragraph-p161-d04f4b3a09e6ff60],,,,
23-02,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.","Representa físicamente o con objetos concretos la ejecución paso a paso de una secuencia de instrucciones, respetando estrictamente cada comando sin agregar acciones no escritas.",computational_thinking,applying,T0,"Have the Bot act out the individual instructions: forward means step one square forward, and left and right mean a 90 degree turn on the spot in the square (not moving to another square).",[unplugged-rocket html ¶paragraph-p236-03732d6aa3ed0927],,,,
23-03,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Predice la posición y orientación final de un agente al trazar mentalmente o en papel una secuencia de instrucciones antes de su ejecución.,computational_thinking,reasoning,T0,use logical reasoning to predict the behaviour of simple programs,[eng-computing html ¶paragraph-p94-f79248dc0d11c7ae],,,,
23-04,3,"Crear, seguir y depurar secuencias de instrucciones precisas para que un agente alcance una meta, prediciendo el resultado antes de ejecutarlas.",Depura una secuencia de instrucciones identificando el paso exacto donde ocurre un error y modificando el código para que el agente alcance la meta.,computational_thinking,reasoning,T0,Identify where a bug has occurred and be able to correct the code to allow the object to move to the desired destination.,[unplugged-rocket html ¶paragraph-p167-ad0a0a9f9457ffeb],,,,
24-01,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Traza paso a paso un algoritmo que contiene instrucciones de selección o repetición para determinar su resultado final.,computational_thinking,applying,T0,use logical reasoning to predict the behaviour of simple programs,eng-computing html ¶paragraph-p94-f79248dc0d11c7ae,,,,
24-02,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Depura un algoritmo simple identificando el paso exacto donde falla y proponiendo la instrucción correcta para lograr el objetivo.,computational_thinking,reasoning,T0,use logical reasoning to explain how some simple algorithms work and to detect and correct errors in algorithms and programs,eng-computing html ¶paragraph-p112-55b0739086dd3e68,,,,
